Event No.,Level,Period,Stage No.,Display stage No.,Stage mission name,Ene military gauge val,Memo
1,HEI,,1,1,前哨戦,1000,
1,HEI,,2,2,警戒線突破,1000,
1,HEI,,3,3,湾内突入！,1200,
1,HEI,,4,4,敵泊地強襲！,2000,
1,HEI,,5,0,掃討戦,0,
1,OTU,,1,1,前哨戦,1500,
1,OTU,,2,2,警戒線突破,1500,
1,OTU,,3,3,湾内突入！,1800,
1,OTU,,4,4,敵泊地強襲！,2500,
1,OTU,,5,0,掃討戦,0,
2,HEI,0,1,1,南方海域へ進出せよ！,2000,
2,HEI,0,2,2,警戒線を突破せよ！,2700,
2,HEI,0,3,3,敵洋上戦力を排除せよ！,2800,
2,HEI,0,4,0,敵洋上戦力を排除せよ！,0,
2,OTU,0,1,1,南方海域へ進出せよ！,1800,
2,OTU,0,2,2,警戒線を突破せよ！,2500,
2,OTU,0,3,3,敵洋上戦力を排除せよ！,2600,
2,OTU,0,4,0,敵洋上戦力を排除せよ！,0,
2,KOU,0,1,1,南方海域へ進出せよ！,2000,
2,KOU,0,2,2,警戒線を突破せよ！,2700,
2,KOU,0,3,3,敵洋上戦力を排除せよ！,2800,
2,KOU,0,4,0,敵洋上戦力を排除せよ！,0,
2,HEI,1,1,4,敵情偵察を開始せよ！,2600,
2,HEI,1,2,5,敵集結地を強襲せよ！,3400,
2,HEI,1,3,6,敵大型超弩級戦艦を叩け！,3600,
2,HEI,1,4,0,敵大型超弩級戦艦を叩け！,0,
2,OTU,1,1,4,敵情偵察を開始せよ！,2500,
2,OTU,1,2,5,敵集結地を強襲せよ！,3500,
2,OTU,1,3,6,敵大型超弩級戦艦を叩け！,3600,
2,OTU,1,4,0,敵大型超弩級戦艦を叩け！,0,
2,KOU,1,1,4,敵情偵察を開始せよ！,2700,
2,KOU,1,2,5,敵集結地を強襲せよ！,3700,
2,KOU,1,3,6,敵大型超弩級戦艦を叩け！,3800,
2,KOU,1,4,0,敵大型超弩級戦艦を叩け！,0,
3,HEI,0,1,1,サメワニ沖海戦,1900,
3,HEI,0,2,2,ズンダ海峡を越えて,1900,
3,HEI,0,3,3,強襲！ポートワイン破壊作戦,1900,
3,HEI,0,4,0,強襲！ポートワイン破壊作戦,0,
3,OTU,0,1,1,サメワニ沖海戦,2000,
3,OTU,0,2,2,ズンダ海峡を越えて,2000,
3,OTU,0,3,3,強襲！ポートワイン破壊作戦,2000,
3,OTU,0,4,0,強襲！ポートワイン破壊作戦,0,
3,KOU,0,1,1,サメワニ沖海戦,1400,
3,KOU,0,2,2,ズンダ海峡を越えて,1400,
3,KOU,0,3,3,強襲！ポートワイン破壊作戦,1400,
3,KOU,0,4,0,強襲！ポートワイン破壊作戦,0,
3,HEI,1,1,4,攻略作戦 前哨戦,2550,
3,HEI,1,2,5,前路対潜掃蕩戦,2550,
3,HEI,1,3,6,ピーコック島攻略作戦,2550,
3,HEI,1,4,0,ピーコック島攻略作戦,0,
3,OTU,1,1,4,攻略作戦 前哨戦,2650,
3,OTU,1,2,5,前路対潜掃蕩戦,2650,
3,OTU,1,3,6,ピーコック島攻略作戦,2650,
3,OTU,1,4,0,ピーコック島攻略作戦,0,
3,KOU,1,1,4,攻略作戦 前哨戦,2000,
3,KOU,1,2,5,前路対潜掃蕩戦,2000,
3,KOU,1,3,6,ピーコック島攻略作戦,2000,
